CustomerID,last_purchase,frequency,monetary,recency,r_score,f_score,m_score,RFM_SCORE,Segment,Cluster
12346.0,2011-01-18 10:01:00,12,77556.46,325,3,3,4,334,Big Spenders,1
12347.0,2011-12-07 15:52:00,8,5633.32,1,1,3,4,134,Big Spenders,1
12348.0,2011-09-25 13:13:00,5,2019.3999999999999,74,2,2,3,223,Others,1
12349.0,2011-11-21 09:51:00,4,4428.69,18,1,2,4,124,Big Spenders,1
12350.0,2011-02-02 16:01:00,1,334.4,309,3,1,1,311,Others,0
12351.0,2010-11-29 15:23:00,1,300.93,374,3,1,1,311,Others,0
12352.0,2011-11-03 14:37:00,10,2849.84,35,2,3,4,234,Big Spenders,1
12353.0,2011-05-19 17:47:00,2,406.76,203,3,1,2,312,Others,1
12354.0,2011-04-21 13:11:00,1,1079.4,231,3,1,3,313,Others,1
12355.0,2011-05-09 13:49:00,2,947.61,213,3,1,3,313,Others,1
12356.0,2011-11-17 08:40:00,6,6373.68,22,1,2,4,124,Big Spenders,1
12357.0,2011-11-06 16:07:00,3,18287.66,32,2,1,4,214,Big Spenders,1
12358.0,2011-12-08 10:26:00,5,3887.07,1,1,2,4,124,Big Spenders,1
12359.0,2011-10-13 12:47:00,10,8935.94,57,2,3,4,234,Big Spenders,1
12360.0,2011-10-18 15:22:00,8,4252.89,51,2,3,4,234,Big Spenders,1
12361.0,2011-02-25 13:51:00,4,511.25,286,3,2,2,322,Others,0
12362.0,2011-12-06 15:40:00,11,5356.23,2,1,3,4,134,Big Spenders,1
12363.0,2011-08-22 10:18:00,2,552.0,109,3,1,2,312,Others,1
12364.0,2011-12-02 10:22:00,4,1313.1,7,1,2,3,123,Others,1
12365.0,2011-02-21 14:04:00,2,641.38,290,3,1,2,312,Others,0
12366.0,2010-03-16 10:28:00,1,500.24,633,4,1,2,412,Recent Customers,0
12367.0,2011-12-05 16:48:00,1,168.9,3,1,1,1,111,Others,1
12368.0,2010-03-21 15:56:00,1,917.6999999999999,627,4,1,3,413,Recent Customers,0
12369.0,2010-10-22 13:13:00,3,1791.15,412,4,1,3,413,Recent Customers,0
12370.0,2011-10-19 14:51:00,7,4320.31,50,2,2,4,224,Big Spenders,1
12371.0,2011-10-26 10:16:00,5,4067.38,44,2,2,4,224,Big Spenders,1
12372.0,2011-09-29 12:12:00,3,1298.04,71,2,1,3,213,Others,1
12373.0,2011-02-01 13:10:00,3,1127.65,310,3,1,3,313,Others,0
12374.0,2011-11-14 15:37:00,4,2989.22,24,1,2,4,124,Big Spenders,1
12375.0,2011-11-29 10:36:00,2,457.5,10,1,1,2,112,Others,1
12376.0,2010-11-15 12:15:00,2,503.15,389,4,1,2,412,Recent Customers,0
12377.0,2011-01-28 15:45:00,4,3426.32,314,3,2,4,324,Big Spenders,0
12378.0,2011-08-02 10:34:00,2,5416.32,129,3,1,4,314,Big Spenders,1
12379.0,2011-09-19 10:09:00,4,1620.22,81,2,2,3,223,Others,1
12380.0,2011-11-18 11:27:00,11,9676.3,21,1,3,4,134,Big Spenders,1
