CustomerID,last_purchase,frequency,monetary,recency
12346.0,2011-01-18 10:01:00,12,77556.46,325
12347.0,2011-12-07 15:52:00,8,5633.32,1
12348.0,2011-09-25 13:13:00,5,2019.3999999999999,74
12349.0,2011-11-21 09:51:00,4,4428.69,18
12350.0,2011-02-02 16:01:00,1,334.4,309
12351.0,2010-11-29 15:23:00,1,300.93,374
12352.0,2011-11-03 14:37:00,10,2849.84,35
12353.0,2011-05-19 17:47:00,2,406.76,203
12354.0,2011-04-21 13:11:00,1,1079.4,231
12355.0,2011-05-09 13:49:00,2,947.61,213
12356.0,2011-11-17 08:40:00,6,6373.68,22
12357.0,2011-11-06 16:07:00,3,18287.66,32
12358.0,2011-12-08 10:26:00,5,3887.07,1
12359.0,2011-10-13 12:47:00,10,8935.94,57
12360.0,2011-10-18 15:22:00,8,4252.89,51
12361.0,2011-02-25 13:51:00,4,511.25,286
12362.0,2011-12-06 15:40:00,11,5356.23,2
12363.0,2011-08-22 10:18:00,2,552.0,109
12364.0,2011-12-02 10:22:00,4,1313.1,7
12365.0,2011-02-21 14:04:00,2,641.38,290
12366.0,2010-03-16 10:28:00,1,500.24,633
12367.0,2011-12-05 16:48:00,1,168.9,3
12368.0,2010-03-21 15:56:00,1,917.6999999999999,627
12369.0,2010-10-22 13:13:00,3,1791.15,412
12370.0,2011-10-19 14:51:00,7,4320.31,50
12371.0,2011-10-26 10:16:00,5,4067.38,44
12372.0,2011-09-29 12:12:00,3,1298.04,71
12373.0,2011-02-01 13:10:00,3,1127.65,310
12374.0,2011-11-14 15:37:00,4,2989.22,24
12375.0,2011-11-29 10:36:00,2,457.5,10
12376.0,2010-11-15 12:15:00,2,503.15,389
12377.0,2011-01-28 15:45:00,4,3426.32,314
12378.0,2011-08-02 10:34:00,2,5416.32,129
12379.0,2011-09-19 10:09:00,4,1620.22,81
12380.0,2011-11-18 11:27:00,11,9676.3,21
12381.0,2011-12-05 12:44:00,5,1845.31,4
12383.0,2011-06-08 08:02:00,5,1850.56,184
12384.0,2011-11-11 08:39:00,2,585.27,28
12385.0,2010-11-25 15:14:00,1,1938.4,378
12386.0,2011-01-06 12:37:00,2,660.8,337
12387.0,2010-10-20 16:27:00,1,143.94,414
12388.0,2011-11-24 12:30:00,8,3901.11,15
12389.0,2010-11-02 11:52:00,3,1433.33,402
12390.0,2011-09-21 09:33:00,1,549.84,79
12391.0,2011-11-18 12:07:00,6,2773.42,21
12392.0,2010-04-27 14:04:00,1,234.75000000000003,590
12393.0,2011-09-28 15:41:00,6,2399.4500000000003,71
12394.0,2011-10-07 08:08:00,2,1272.48,63
12395.0,2011-11-20 15:21:00,15,5067.27,18
12396.0,2010-02-03 13:22:00,1,931.43,673
12397.0,2011-11-04 09:52:00,2,2409.9,35
12398.0,2011-10-25 10:27:00,1,1635.66,45
12399.0,2011-08-12 13:15:00,7,1962.3,118
12400.0,2010-10-21 13:45:00,1,205.25,413
12401.0,2011-02-09 13:50:00,1,84.3,302
12402.0,2011-01-20 13:49:00,6,1256.9,322
12403.0,2011-10-21 10:51:00,2,1019.36,49
12404.0,2010-01-26 16:25:00,1,63.24,681
12405.0,2011-07-14 08:52:00,1,1710.39,148
12406.0,2011-11-17 19:22:00,5,6390.36,21
12407.0,2011-10-21 10:11:00,5,1708.12,49
12408.0,2011-11-07 12:27:00,8,4340.7699999999995,32
12409.0,2011-09-22 10:38:00,7,23419.29,78
12410.0,2011-02-04 10:39:00,3,1013.71,308
12411.0,2010-10-26 09:25:00,1,346.9,409
12412.0,2011-09-26 10:16:00,6,2596.93,74
12413.0,2011-10-04 09:00:00,4,999.45,66
12414.0,2011-05-06 14:51:00,6,952.41,216
12415.0,2011-11-15 14:22:00,28,144458.37,23
12416.0,2010-02-21 10:19:00,1,202.56,656
12417.0,2011-12-06 14:52:00,20,6816.91,2
12418.0,2011-08-19 11:08:00,4,2021.2,112
12419.0,2010-11-19 10:04:00,2,503.01,385
12420.0,2011-10-07 08:55:00,1,600.39,63
12421.0,2011-11-24 09:07:00,6,1098.6,15
12422.0,2011-09-05 09:48:00,17,5231.8,95
12423.0,2011-12-09 10:10:00,10,2622.39,0
12424.0,2011-06-30 12:06:00,4,3340.03,162
12425.0,2011-09-22 17:31:00,2,1741.41,77
12426.0,2011-05-29 12:26:00,2,1345.21,194
12427.0,2011-11-18 08:56:00,3,1129.3,21
12428.0,2011-11-14 08:22:00,9,7956.46,25
12429.0,2011-11-30 17:22:00,8,7485.91,8
12430.0,2011-10-27 15:09:00,1,256.4,42
12431.0,2011-11-04 11:55:00,27,10857.97,35
12432.0,2011-10-28 11:43:00,5,5059.32,42
12433.0,2011-12-09 10:02:00,10,20581.26,0
12434.0,2011-09-16 12:38:00,3,1103.43,84
12435.0,2011-09-21 09:06:00,6,13925.93,79
12436.0,2011-09-01 12:09:00,1,509.01000000000005,99
12437.0,2011-12-08 11:35:00,39,12683.4,1
12438.0,2011-11-25 13:28:00,2,2906.85,13
12439.0,2010-01-26 12:11:00,2,1158.18,682
12440.0,2010-09-03 13:11:00,2,859.2,461
12441.0,2010-12-08 10:45:00,1,347.1,366
12442.0,2011-12-06 14:22:00,1,172.06,2
12443.0,2009-12-07 15:42:00,1,485.31,731
12444.0,2011-11-18 13:23:00,5,5005.46,20
